episode,step,reward
175,63630,-109.89599061572069
176,63928,-109.89932459453141
177,65528,-110.22683027173342
178,66209,-110.94225652984083
179,66283,-111.15093225113438
180,67883,-111.35003480403668
181,69483,-111.61162715974862
182,71083,-112.0747991420341
183,71215,-112.35110556476906
184,71312,-112.64736943498156
185,72777,-114.25363776758333
186,72852,-114.4529362134902
187,74452,-114.55527120621232
188,76052,-114.91840588997675
189,77652,-114.97310529122714
190,79252,-115.52613985515272
191,80852,-115.8129836533795
192,81274,-116.31191167634525
193,82874,-116.02365420413875
194,84474,-116.57291698141422
195,86074,-116.7215893538119
196,87674,-116.53057647353951
197,89274,-116.00953266792722
198,90874,-115.25400610084021
199,92474,-114.76912894924457
200,94074,-114.60466590738852
201,95674,-113.95581000620649
202,97274,-113.58594234606673
203,98874,-113.58704434949561
204,100474,-113.33287985302402
205,102074,-113.30169797668839
206,103674,-113.09044883528233
207,105274,-112.61113348032585
208,106874,-112.3528064883751
209,108474,-112.26674107272133
210,109331,-113.1400435764254
211,110931,-113.17864251649509
212,112531,-112.56884005810946
213,113463,-111.01530595200575
214,113692,-110.81487462237219
215,113908,-110.83743286008212
216,115508,-109.8477425283777
217,116094,-109.44613981117499
218,117694,-109.7502432818578
219,117867,-109.68303830704033
220,119467,-109.19049078576556
221,119755,-108.8938023896748
222,119950,-108.84397127518358
223,120169,-108.75130709668781
224,120347,-108.63987711933974
225,121287,-108.16170251342128
226,121553,-107.98661353498727
227,122592,-106.96535517210515
228,123487,-106.43503856705952
229,123740,-106.370655949309
230,125340,-104.31443825082386
231,126940,-103.69876514010866
232,128540,-101.93945427442685
233,130140,-99.94558582725398
234,131740,-98.96204376217025
235,133340,-97.75168618474554
236,134940,-97.43914210648504
237,136482,-93.97480102594706
238,138082,-92.5294567475653
239,139682,-89.54250923853833
240,139799,-89.72390690011302
241,140675,-88.61508914362618
242,141751,-87.98097844377227
243,142454,-86.90419239617886
244,142567,-86.9458025727868
245,142661,-86.51269404136937
246,144000,-84.66341779212651
247,144199,-84.0082776074459
248,144596,-83.20612523388625
249,145363,-82.40573451172605
250,145656,-81.65258812832312
251,145818,-81.38901763695982
252,146064,-81.47562766110427
253,146224,-80.75783861675902
254,146457,-79.37254003717305
255,146603,-78.39267022650579
256,146686,-78.32084530479216
257,146898,-77.92209945065854
258,147096,-77.91424692047744
259,147216,-77.77562424193167
260,147330,-77.38286696233911
261,147428,-77.5540045534789
262,147541,-76.85321838216028
