episode,step,reward
3074,2810000,139.019
3084,2820000,162.0998
3094,2830000,163.0254
3105,2840000,115.7009
3117,2850000,120.7675
3128,2860000,122.5552
3139,2870000,105.3472
3149,2880000,161.8034
3162,2890000,95.3662
3174,2900000,114.3274
3184,2910000,145.1781
3194,2920000,145.4465
3207,2930000,79.7125
3217,2940000,155.42
3232,2950000,26.3069
3243,2960000,121.6787
3253,2970000,148.1123
3265,2980000,109.3881
3276,2990000,104.6775
3288,3000000,126.2507
3300,3010000,110.4927
3311,3020000,81.2199
3324,3030000,91.1908
3337,3040000,81.5646
3349,3050000,97.5996
3365,3060000,45.2706
3377,3070000,104.3731
3388,3080000,108.97
3399,3090000,104.9945
3409,3100000,148.8386
3420,3110000,138.0295
3431,3120000,117.749
3444,3130000,73.431
3455,3140000,121.0184
3468,3150000,78.6195
3479,3160000,131.359
3491,3170000,85.5367
3502,3180000,117.6467
3512,3190000,153.6515
3523,3200000,129.7181
3533,3210000,171.5869
3545,3220000,105.1134
3556,3230000,121.8719
3566,3240000,159.1649
3577,3250000,139.5035
3587,3260000,134.6763
3600,3270000,86.7968
3611,3280000,113.3514
3625,3290000,30.153
3636,3300000,112.9047
3649,3310000,93.2001
3660,3320000,124.7534
3672,3330000,91.577
3682,3340000,173.5838
3694,3350000,122.2265
3706,3360000,97.5742
3716,3370000,139.6085
3728,3380000,125.9156
3738,3390000,173.3239
3749,3400000,129.3239
3760,3410000,130.0082
3772,3420000,100.6521
3784,3430000,105.1628
3795,3440000,142.1087
3807,3450000,121.1085
3818,3460000,104.6211
3829,3470000,147.6001
3839,3480000,174.35
3851,3490000,127.7231
3862,3500000,107.5308
3875,3510000,90.281
3886,3520000,125.1852
3896,3530000,181.9337
3907,3540000,159.847
3917,3550000,182.4629
3928,3560000,159.1801
3938,3570000,157.002
3948,3580000,183.0585
3960,3590000,109.122
3971,3600000,140.308
3982,3610000,143.2243
3992,3620000,184.54
4002,3630000,147.7802
4014,3640000,115.1313
4025,3650000,157.8458
4036,3660000,153.6539
4046,3670000,180.2493
4057,3680000,140.7372
4067,3690000,169.1199
4079,3700000,124.0774
4091,3710000,111.5494
4102,3720000,147.128
4113,3730000,149.4044
4124,3740000,132.5958
4135,3750000,149.1021
4146,3760000,143.0151
4156,3770000,195.5703
4171,3780000,48.6565
4182,3790000,106.4655
4194,3800000,135.8699
4205,3810000,147.2829
4216,3820000,137.3633
4230,3830000,90.0366
4240,3840000,165.4333
4252,3850000,110.3957
4262,3860000,175.2975
4273,3870000,157.0256
4284,3880000,150.5276
4294,3890000,188.568
4305,3900000,150.7076
4318,3910000,101.3147
4328,3920000,185.3863
4339,3930000,151.5923
4350,3940000,141.0457
4363,3950000,88.134
4375,3960000,101.0814
4386,3970000,160.9473
4397,3980000,146.3567
4410,3990000,86.4514
4422,4000000,134.9174
4433,4010000,135.3589
4445,4020000,123.6053
4456,4030000,143.1036
4468,4040000,140.125
4480,4050000,122.906
4491,4060000,159.2904
4502,4070000,130.7364
4513,4080000,156.0012
4525,4090000,130.628
4537,4100000,137.8303
4548,4110000,142.4762
4560,4120000,132.5132
4570,4130000,178.4868
4581,4140000,175.1561
4591,4150000,171.7229
4602,4160000,153.9314
4614,4170000,138.0505
4625,4180000,157.8017
4635,4190000,189.6951
4645,4200000,177.3847
4655,4210000,192.1488
4665,4220000,193.5605
4676,4230000,154.592
4687,4240000,164.5702
4698,4250000,149.2394
4709,4260000,177.2729
4719,4270000,200.3768
4729,4280000,179.473
4739,4290000,201.8635
4750,4300000,159.7403
4761,4310000,182.1689
4771,4320000,211.0018
4781,4330000,207.468
4792,4340000,166.9055
4803,4350000,173.8591
4813,4360000,203.9924
4823,4370000,182.555
4834,4380000,184.326
4844,4390000,210.8819
4854,4400000,211.7779
4865,4410000,187.6048
4875,4420000,207.047
4885,4430000,199.6437
4895,4440000,217.2511
4905,4450000,214.5102
4915,4460000,198.6349
4926,4470000,180.4534
4936,4480000,219.4785
4946,4490000,220.0038
4956,4500000,186.732
4969,4510000,139.2791
4979,4520000,199.5792
4989,4530000,214.5344
4999,4540000,191.0706
5009,4550000,218.5133
5020,4560000,194.3316
5030,4570000,219.6299
5041,4580000,190.3354
5052,4590000,161.7634
5062,4600000,200.9131
5074,4610000,157.5975
5084,4620000,180.283
5096,4630000,153.0248
5106,4640000,204.4829
5116,4650000,210.6517
5126,4660000,203.724
5137,4670000,180.2386
5150,4680000,146.0959
5160,4690000,204.143
5171,4700000,200.8584
5182,4710000,194.5646
5192,4720000,215.6275
5203,4730000,178.3115
5213,4740000,227.3912
5223,4750000,209.1822
5234,4760000,196.7147
5244,4770000,232.5375
5255,4780000,174.5557
5265,4790000,227.6159
5277,4800000,160.4934
5288,4810000,183.4419
5299,4820000,210.1111
5309,4830000,204.4579
5320,4840000,217.5526
5330,4850000,218.7211
5341,4860000,179.3989
5351,4870000,229.7794
5363,4880000,176.4279
5373,4890000,196.4403
5384,4900000,211.0119
5394,4910000,228.5492
5404,4920000,217.4525
5414,4930000,231.5694
5424,4940000,235.7555
5436,4950000,166.2225
5446,4960000,229.1709
5456,4970000,186.1571
5468,4980000,166.5339
5478,4990000,191.1715
5489,5000000,217.1012
5500,5010000,189.8931
5510,5020000,207.8854
5520,5030000,230.5625
5531,5040000,217.6827
5541,5050000,233.6838
5551,5060000,218.4456
5561,5070000,204.4338
5571,5080000,242.1383
5582,5090000,210.5203
5593,5100000,201.3296
5603,5110000,211.5592
5614,5120000,215.9253
5625,5130000,201.7358
5635,5140000,228.0753
5645,5150000,238.6523
5655,5160000,243.7983
5666,5170000,192.7128
5677,5180000,199.0717
5687,5190000,204.5615
5697,5200000,227.415
5709,5210000,183.7925
5720,5220000,200.9536
5730,5230000,233.2099
5740,5240000,243.5036
5751,5250000,198.8953
5761,5260000,218.2975
5771,5270000,240.3597
5784,5280000,115.5816
5795,5290000,210.2579
5805,5300000,239.1618
5815,5310000,242.941
5826,5320000,194.3611
5836,5330000,242.963
5847,5340000,198.4198
5857,5350000,242.0948
5867,5360000,243.9496
5877,5370000,239.2754
5888,5380000,220.0104
5898,5390000,199.1537
5909,5400000,227.2162
5919,5410000,241.1326
5929,5420000,225.8723
5939,5430000,237.7406
5950,5440000,211.2059
5961,5450000,191.9433
5971,5460000,193.72
5982,5470000,198.3424
5994,5480000,179.9015
6004,5490000,224.0704
6014,5500000,219.6467
6026,5510000,196.0524
6036,5520000,244.961
6046,5530000,217.2932
6057,5540000,198.7257
6069,5550000,188.227
6079,5560000,226.7964
6089,5570000,244.1506
6099,5580000,247.6871
6110,5590000,229.121
6120,5600000,232.1218
6131,5610000,185.2438
6141,5620000,235.6492
6152,5630000,216.3397
6162,5640000,250.4917
6173,5650000,180.7998
6183,5660000,229.3285
6193,5670000,217.5099
6203,5680000,240.3479
6213,5690000,242.9213
6223,5700000,240.1697
6234,5710000,201.3766
6244,5720000,226.0827
6256,5730000,204.3842
6266,5740000,246.6778
6276,5750000,212.2392
6286,5760000,248.3464
6296,5770000,250.2666
6307,5780000,226.0791
6317,5790000,248.934
6328,5800000,204.4672
6339,5810000,182.8569
6350,5820000,186.6732
6360,5830000,244.8979
6370,5840000,245.1427
6380,5850000,246.9844
6391,5860000,199.0179
6401,5870000,249.319
6412,5880000,213.0907
6422,5890000,250.2003
6432,5900000,250.6818
6443,5910000,206.4267
6453,5920000,249.7673
6463,5930000,252.2599
6473,5940000,251.8389
6483,5950000,214.6877
6493,5960000,250.6074
6504,5970000,217.613
6515,5980000,183.7055
6526,5990000,199.1975
6536,6000000,252.0948
6546,6010000,248.9548
6557,6020000,194.5071
6567,6030000,248.2654
6577,6040000,247.7928
6588,6050000,223.6839
6598,6060000,251.2494
6608,6070000,221.8705
6618,6080000,247.8571
6629,6090000,216.998
6639,6100000,243.5485
6650,6110000,216.9743
6660,6120000,254.2104
6670,6130000,225.5313
6681,6140000,222.6905
6692,6150000,204.7542
6702,6160000,253.5411
6712,6170000,249.615
6722,6180000,248.0856
6733,6190000,192.6523
6744,6200000,237.7871
6754,6210000,235.5735
6764,6220000,215.4985
6774,6230000,252.553
6784,6240000,252.472
6795,6250000,210.1834
6805,6260000,234.4669
6818,6270000,179.7314
6829,6280000,206.7928
6839,6290000,213.0441
6851,6300000,179.9104
6862,6310000,180.8237
6873,6320000,225.8646
6883,6330000,250.931
6893,6340000,234.4646
6904,6350000,216.3648
6914,6360000,252.5035
6924,6370000,229.905
6935,6380000,218.1528
6945,6390000,253.1972
6955,6400000,235.5513
6965,6410000,258.5733
6975,6420000,253.2789
6985,6430000,258.2376
6995,6440000,256.9659
7005,6450000,248.6242
