episode,step,reward
300,341645,-69.61
301,341918,-149.11
302,343518,96.87
303,345118,125.18
304,346718,155.07
305,348318,183.93
306,349918,139.94
307,351518,121.82
308,352793,-18.15
309,354393,109.91
310,355993,212.26
311,356631,-130.65
312,358231,182.43
313,359831,155.54
314,361431,11.030000000000001
315,363031,146.77
316,364631,153.31
317,366231,203.49
318,366764,-40.09
319,368364,215.96
320,369920,230.14
321,371520,166.6
322,373100,211.72
323,374159,71.84
324,375721,220.94
325,377259,236.93
326,378780,242.89
327,379899,50.510000000000005
328,380028,-116.95
329,380575,-85.07
330,380725,-111.16
331,380969,-78.59
332,381490,-88.69
333,381582,-165.19
334,381964,-76.1
335,382184,-126.69
336,382835,-66.87
337,383235,-55.0
338,383579,-118.81
339,384849,23.33
340,386315,196.2
341,387767,193.62
342,388013,-153.32
343,389531,197.69
344,391006,211.25
345,392569,162.08
346,393831,9.0
347,394442,-103.32
348,396042,211.59
349,396113,-136.11
350,397066,-22.19
351,398666,126.97
352,400266,197.34
353,401748,37.34
354,403327,246.88
355,404824,242.85000000000002
356,406336,185.81
357,407780,261.26
358,409337,225.77
359,410821,168.94
360,412201,50.269999999999996
361,413732,180.52
362,415286,205.92000000000002
363,416780,219.76999999999998
364,418180,191.49
365,419780,168.14
366,421259,177.16000000000003
367,422839,206.63
368,424250,41.92
369,425752,223.63
370,427100,250.8
371,428544,205.23000000000002
372,430009,200.62
373,431590,246.51999999999998
374,433060,206.38
375,434569,186.98000000000002
376,436169,166.51
377,437667,211.87
378,439121,207.82
379,440435,263.58
380,441796,249.27999999999997
381,443105,182.23000000000002
382,444431,242.14999999999998
383,445733,270.11
384,447075,203.5
385,448378,265.24
386,449687,257.41
387,451013,223.92000000000002
388,452395,246.29000000000002
389,453691,253.47000000000003
390,455016,264.09
391,456473,165.29000000000002
392,457777,220.67000000000002
393,459235,165.76
394,460662,236.11
395,462017,188.82
396,463309,254.36
397,464604,259.0
398,465832,229.45999999999998
399,467161,240.14
400,468357,249.88
401,469572,213.68
402,470792,276.34
403,472080,221.38
404,473267,248.19
405,474509,260.23
406,475698,258.07
407,476955,270.35
408,478164,268.8
409,479430,257.09
410,480646,206.02999999999997
411,481825,205.62
412,482987,242.07999999999998
413,484193,180.94
414,484512,-133.02
415,485743,214.77999999999997
416,486945,189.0
417,488150,261.23
418,489272,217.2
419,490479,223.64
420,491710,194.14
421,492970,250.97000000000003
422,494177,279.22
423,495367,260.6
424,496524,278.86
425,497634,208.77999999999997
426,498919,230.33999999999997
427,500024,263.29
428,501128,247.63
429,502254,184.61
430,503373,237.91000000000003
431,504515,271.76
432,505628,197.14
433,506737,269.92
434,507884,184.95
435,509013,187.95
436,510127,261.76
437,511248,212.72000000000003
438,512308,245.44
439,513357,243.72000000000003
440,514438,199.44
441,515510,232.61
442,516570,241.54000000000002
443,517621,279.02
444,518704,255.52999999999997
445,519790,235.87
446,520876,253.55
447,521956,262.94
448,523025,277.39
449,524077,254.05
450,525137,241.13
451,526236,280.66
452,527273,209.3
453,528309,275.72
454,529117,126.77000000000001
455,530134,217.37
456,531174,200.95
457,532221,195.66000000000003
458,533279,194.32
459,534348,222.07999999999998
460,535383,232.05
461,536423,232.07
462,537450,283.02
463,538464,278.42
464,539540,241.56
465,540570,287.85
466,541588,218.26999999999998
467,542622,205.07
468,543631,204.01
469,544596,223.76
470,545633,214.27999999999997
471,546683,202.31
472,547674,250.23000000000002
473,548694,270.52
474,549715,215.86
475,550739,200.94
476,551813,191.57
477,552786,270.32
478,553787,214.45999999999998
479,554807,227.29000000000002
480,555790,246.31
481,556783,293.37
482,557763,258.56
483,558734,294.85
484,559733,221.76
485,560745,273.06
486,561671,196.62
487,562602,291.24
488,563606,223.89999999999998
489,564568,212.76999999999998
490,565523,239.76999999999998
491,566475,250.79000000000002
492,567405,257.54
493,568356,290.46
494,569334,273.48
495,570306,204.73000000000002
496,571267,284.61
497,572247,228.2
498,573176,283.41
499,574099,233.22000000000003
500,575046,280.32
501,575975,217.33999999999997
502,576934,269.5
503,577865,228.54000000000002
504,578791,291.09
505,579752,207.87
506,580703,234.73000000000002
507,581651,249.39
508,582633,201.01999999999998
509,583578,280.71
510,584506,216.74
511,585432,262.68
512,586376,273.34
513,587289,207.17000000000002
514,588209,278.68
515,589148,201.79000000000002
516,590130,278.89
517,591032,248.27999999999997
518,591954,291.1
519,592877,246.95
520,593407,15.619999999999997
521,594295,290.59
522,595202,247.86
523,596115,223.52999999999997
524,597038,267.96
525,597933,232.82
526,598828,255.79000000000002
527,599762,218.75
528,600678,206.86
529,601612,207.44
530,602509,233.61
531,603383,253.55
532,604289,217.75
533,605184,246.73000000000002
534,606104,288.25
535,607021,261.77
536,607930,249.68
537,608846,257.66
538,609748,288.43
539,610660,281.41
540,611574,214.10000000000002
541,612491,244.22000000000003
542,613393,252.12
543,614278,251.06
544,615198,246.66000000000003
545,616080,217.75
546,616992,225.25
547,617917,270.59
548,618819,281.79
549,619719,228.91000000000003
550,620626,259.16
551,621539,204.49
552,622431,276.07
553,623322,227.19
554,624226,237.25
555,625114,216.95999999999998
556,625993,273.43
557,626894,267.58
558,627806,262.5
559,628699,215.66000000000003
560,629579,223.76
561,630469,199.07
562,631356,270.37
563,632225,257.48
564,633135,273.74
565,634034,244.63
566,634933,258.12
567,635837,225.76999999999998
568,636722,226.85000000000002
569,637606,220.57999999999998
570,638511,203.70999999999998
571,639389,251.63
572,640256,219.74
573,641156,266.83
574,642101,200.43
575,642987,213.89
576,643919,282.11
577,644814,297.23
578,645755,207.24
579,646625,284.75
580,647527,272.66
581,648416,276.1
582,649287,245.8
583,650194,196.82999999999998
584,651074,202.5
585,651979,227.89
586,652836,264.11
587,653728,279.02
588,654613,206.51999999999998
589,655536,283.85
590,656473,239.92000000000002
591,657358,220.95999999999998
592,658262,214.8
593,659132,279.29
594,660018,224.22000000000003
595,660898,255.95
596,661781,229.56
597,662684,221.89
598,663571,291.91
