episode,step,reward
329,380575,-47.07
330,380725,-85.16
331,380969,-68.59
332,381490,-14.69
333,381582,-99.19
334,381964,-37.10
335,382184,-61.69
336,382835,10.13
337,383235,-25.00
338,383579,-45.81
339,384849,117.33
340,386315,262.20
341,387767,260.62
342,388013,-63.32
343,389531,255.69
344,391006,259.25
345,392569,246.08
346,393831,71.00
347,394442,-38.32
348,396042,239.59
349,396113,-119.11
350,397066,-19.19
351,398666,226.97
352,400266,211.34
353,401748,118.34
354,403327,252.88
355,404824,259.85
356,406336,254.81
357,407780,262.26
358,409337,251.77
359,410821,256.94
360,412201,116.27
361,413732,254.52
362,415286,256.92
363,416780,262.77
364,418180,266.49
365,419780,241.14
366,421259,264.16
367,422839,252.63
368,424250,125.92
369,425752,260.63
370,427100,271.80
371,428544,266.23
372,430009,265.62
373,431590,259.52
374,433060,265.38
375,434569,263.98
376,436169,244.51
377,437667,265.87
378,439121,265.82
379,440435,272.58
380,441796,272.28
381,443105,276.23
382,444431,272.15
383,445733,274.11
384,447075,274.50
385,448378,277.24
386,449687,274.41
387,451013,270.92
388,452395,272.29
389,453691,274.47
390,455016,276.09
391,456473,262.29
392,457777,273.67
393,459235,264.76
394,460662,269.11
395,462017,269.82
396,463309,275.36
397,464604,271.00
398,465832,279.46
399,467161,274.14
400,468357,280.88
401,469572,278.68
402,470792,278.34
403,472080,273.38
404,473267,280.19
405,474509,277.23
406,475698,279.07
407,476955,274.35
408,478164,277.80
409,479430,277.09
410,480646,280.03
411,481825,281.62
412,482987,280.08
413,484193,275.94
414,484512,-47.02
415,485743,279.78
416,486945,279.00
417,488150,280.23
418,489272,285.20
419,490479,279.64
420,491710,281.14
421,492970,273.97
422,494177,280.22
423,495367,280.60
424,496524,283.86
425,497634,283.78
426,498919,273.34
427,500024,282.29
428,501128,282.63
429,502254,282.61
430,503373,284.91
431,504515,280.76
432,505628,284.14
433,506737,284.92
434,507884,281.95
435,509013,281.95
436,510127,282.76
437,511248,283.72
438,512308,287.44
439,513357,286.72
440,514438,284.44
441,515510,285.61
442,516570,286.54
443,517621,286.02
444,518704,286.53
445,519790,285.87
446,520876,286.55
447,521956,283.94
448,523025,285.39
449,524077,286.05
450,525137,286.13
451,526236,283.66
452,527273,288.30
453,528309,287.72
454,529117,131.77
455,530134,289.37
456,531174,286.95
457,532221,287.66
458,533279,287.32
459,534348,288.08
460,535383,288.05
461,536423,288.07
462,537450,290.02
463,538464,291.42
464,539540,287.56
465,540570,289.85
466,541588,290.27
467,542622,288.07
468,543631,291.01
469,544596,293.76
470,545633,291.28
471,546683,287.31
472,547674,292.23
473,548694,289.52
474,549715,290.86
475,550739,288.94
476,551813,287.57
477,552786,293.32
478,553787,292.46
479,554807,290.29
480,555790,293.31
481,556783,293.37
482,557763,292.56
483,558734,294.85
484,559733,291.76
485,560745,290.06
486,561671,295.62
487,562602,295.24
488,563606,292.90
489,564568,293.77
490,565523,294.77
491,566475,293.79
492,567405,294.54
493,568356,294.46
494,569334,294.48
495,570306,292.73
496,571267,291.61
497,572247,291.20
498,573176,293.41
499,574099,295.22
500,575046,292.32
501,575975,294.34
502,576934,292.50
503,577865,294.54
504,578791,295.09
505,579752,293.87
506,580703,293.73
507,581651,295.39
508,582633,294.02
509,583578,296.71
510,584506,295.74
511,585432,296.68
512,586376,296.34
513,587289,294.17
514,588209,294.68
515,589148,292.79
516,590130,293.89
517,591032,296.28
518,591954,296.10
519,592877,297.95
520,593407,60.62
521,594295,298.59
522,595202,296.86
523,596115,297.53
524,597038,295.96
525,597933,293.82
526,598828,294.79
527,599762,295.75
528,600678,294.86
529,601612,293.44
530,602509,296.61
531,603383,297.55
532,604289,295.75
533,605184,295.73
534,606104,296.25
535,607021,295.77
536,607930,295.68
537,608846,296.66
538,609748,296.43
539,610660,296.41
540,611574,297.10
541,612491,296.22
542,613393,296.12
543,614278,296.06
544,615198,295.66
545,616080,297.75
546,616992,297.25
547,617917,296.59
548,618819,296.79
549,619719,296.91
550,620626,299.16
551,621539,296.49
552,622431,299.07
553,623322,297.19
554,624226,298.25
555,625114,297.96
556,625993,297.43
557,626894,295.58
558,627806,297.50
559,628699,295.66
560,629579,296.76
561,630469,297.07
562,631356,295.37
563,632225,298.48
564,633135,296.74
565,634034,296.63
566,634933,298.12
567,635837,296.77
568,636722,296.85
569,637606,296.58
570,638511,297.71
571,639389,295.63
572,640256,296.74
573,641156,295.83
574,642101,296.43
575,642987,296.89
576,643919,296.11
577,644814,297.23
578,645755,295.24
